vote_2020,race_ethnicity,education,age,age_grouped
I would not vote,White,High School or Less,20,18-29
Donald Trump,White,High School or Less,47,40-49
Joe Biden,Some other race,High School or Less,18,18-29
Joe Biden,"Black, or African American",College Degree or In Progress,23,18-29
Joe Biden,White,College Degree or In Progress,44,40-49
Someone else,Some other race,Associate Degree or In Progress,34,30-39
I am not sure/don't know,White,College Degree or In Progress,52,50-59
I am not sure/don't know,White,High School or Less,25,18-29
Donald Trump,White,College Degree or In Progress,54,50-59
I would not vote,White,High School or Less,39,30-39
Joe Biden,White,College Degree or In Progress,36,30-39
Joe Biden,White,College Degree or In Progress,44,40-49
Joe Biden,White,College Degree or In Progress,19,18-29
Joe Biden,White,College Degree or In Progress,26,18-29
Donald Trump,White,College Degree or In Progress,34,30-39
Donald Trump,White,Associate Degree or In Progress,69,60+
Joe Biden,"Black, or African American",College Degree or In Progress,25,18-29
Joe Biden,White,High School or Less,70,60+
Joe Biden,White,College Degree or In Progress,19,18-29
Joe Biden,"Black, or African American",High School or Less,36,30-39
Donald Trump,White,Associate Degree or In Progress,62,60+
I would not vote,"Black, or African American",High School or Less,31,30-39
Joe Biden,White,College Degree or In Progress,41,40-49
I am not sure/don't know,Some other race,High School or Less,59,50-59
Someone else,Some other race,High School or Less,25,18-29
I am not sure/don't know,Some other race,High School or Less,20,18-29
Donald Trump,White,High School or Less,65,60+
Joe Biden,"Black, or African American",Masters/Doctorate Degree or In Progress,34,30-39
Joe Biden,"Black, or African American",High School or Less,48,40-49
I am not sure/don't know,White,College Degree or In Progress,39,30-39
Donald Trump,White,High School or Less,66,60+
Joe Biden,White,Masters/Doctorate Degree or In Progress,42,40-49
I would not vote,"Black, or African American",College Degree or In Progress,19,18-29
Donald Trump,White,High School or Less,59,50-59
Donald Trump,"Black, or African American",High School or Less,32,30-39
Donald Trump,"Black, or African American",College Degree or In Progress,52,50-59
Donald Trump,White,Trade Certificate,30,30-39
Joe Biden,White,Associate Degree or In Progress,40,40-49
Joe Biden,White,College Degree or In Progress,52,50-59
Joe Biden,White,College Degree or In Progress,40,40-49
Donald Trump,White,Masters/Doctorate Degree or In Progress,40,40-49
Donald Trump,White,College Degree or In Progress,40,40-49
Joe Biden,White,College Degree or In Progress,74,60+
Joe Biden,"Black, or African American",Trade Certificate,49,40-49
Donald Trump,White,College Degree or In Progress,45,40-49
Joe Biden,White,Masters/Doctorate Degree or In Progress,41,40-49
Donald Trump,White,College Degree or In Progress,34,30-39
Joe Biden,Asian,Masters/Doctorate Degree or In Progress,50,50-59
Donald Trump,White,High School or Less,69,60+
Joe Biden,White,Associate Degree or In Progress,39,30-39
Donald Trump,White,High School or Less,45,40-49
Joe Biden,White,College Degree or In Progress,77,60+
Joe Biden,"Black, or African American",Masters/Doctorate Degree or In Progress,49,40-49
Joe Biden,White,College Degree or In Progress,71,60+
Joe Biden,White,High School or Less,39,30-39
Donald Trump,White,College Degree or In Progress,22,18-29
Joe Biden,White,High School or Less,36,30-39
I would not vote,White,College Degree or In Progress,32,30-39
Donald Trump,White,Masters/Doctorate Degree or In Progress,35,30-39
Joe Biden,White,College Degree or In Progress,20,18-29
Joe Biden,White,Masters/Doctorate Degree or In Progress,34,30-39
Joe Biden,White,High School or Less,31,30-39
Joe Biden,White,Masters/Doctorate Degree or In Progress,32,30-39
